identifier,unix_timestamp,device_lat,device_lon,date,offset_seconds,local_datetime
wizardly_joliot,1704119340,38.3217114212002,-36.6673339303945,2024-01-01,0,2024-01-01 14:29:00+00:00
wizardly_joliot,1704119700,38.32167577212169,-36.667364874004356,2024-01-01,0,2024-01-01 14:35:00+00:00
wonderful_swirles,1704121560,38.32101653778628,-36.66786905040954,2024-01-01,-7200,2024-01-01 13:06:00-02:00
youthful_galileo,1704098820,38.32162478888508,-36.66661220202455,2024-01-01,0,2024-01-01 08:47:00+00:00
youthful_galileo,1704103140,38.32168092404747,-36.66684143991344,2024-01-01,0,2024-01-01 09:59:00+00:00
youthful_galileo,1704103860,38.32183028841519,-36.666793519933975,2024-01-01,0,2024-01-01 10:11:00+00:00
youthful_galileo,1704104100,38.321807635561115,-36.66686053872472,2024-01-01,0,2024-01-01 10:15:00+00:00
youthful_galileo,1704105360,38.32182281360016,-36.666856741039,2024-01-01,0,2024-01-01 10:36:00+00:00
youthful_galileo,1704107640,38.32174813832132,-36.66706906271908,2024-01-01,0,2024-01-01 11:14:00+00:00
youthful_galileo,1704114120,38.32146604546313,-36.66701183996641,2024-01-01,0,2024-01-01 13:02:00+00:00
youthful_galileo,1704115560,38.32207247557064,-36.6668426863652,2024-01-01,0,2024-01-01 13:26:00+00:00
youthful_galileo,1704116520,38.322234724423915,-36.66725745233605,2024-01-01,0,2024-01-01 13:42:00+00:00
youthful_galileo,1704116580,38.32222172256962,-36.66725029254043,2024-01-01,0,2024-01-01 13:43:00+00:00
youthful_galileo,1704116760,38.3219460525031,-36.66727955925584,2024-01-01,0,2024-01-01 13:46:00+00:00
youthful_galileo,1704117720,38.32228962206193,-36.666789024255756,2024-01-01,0,2024-01-01 14:02:00+00:00
youthful_galileo,1704118980,38.32167505532113,-36.66762608335287,2024-01-01,0,2024-01-01 14:23:00+00:00
youthful_galileo,1704120540,38.32165981574698,-36.66759854821553,2024-01-01,0,2024-01-01 14:49:00+00:00
youthful_galileo,1704121320,38.32166813511284,-36.66758609733093,2024-01-01,0,2024-01-01 15:02:00+00:00
youthful_galileo,1704125160,38.321608412302695,-36.66764534851838,2024-01-01,0,2024-01-01 16:06:00+00:00
youthful_galileo,1704128280,38.321766021655264,-36.66759778540115,2024-01-01,0,2024-01-01 16:58:00+00:00
youthful_galileo,1704128460,38.321755763150705,-36.66759211103725,2024-01-01,0,2024-01-01 17:01:00+00:00
youthful_galileo,1704128580,38.32183437408371,-36.6675534042566,2024-01-01,0,2024-01-01 17:03:00+00:00
